Legajo,Carrera,Materia,Nota,Resultado
34627,2,1,10,Promocionado
34627,2,2,7,Aprobado
34627,2,3,10,Promocionado
34627,2,4,8,Aprobado
34627,2,5,9,Promocionado
34627,2,6,6,Aprobado
34627,2,7,7,Aprobado
34627,2,8,10,Promocionado
34627,2,9,7,Aprobado
34627,2,10,9,Promocionado
34627,2,11,10,Promocionado
34627,2,12,7,Aprobado
34627,2,13,8,Promocionado
34627,2,14,7,Aprobado
34627,2,15,9,Promocionado
34627,2,16,0,En Curso
34627,2,17,8,Promocionado
34627,2,18,10,Promocionado
34628,2,1,10,Aprobado
34628,2,2,8,Aprobado
34628,2,3,9,Aprobado
34628,1,1,10,Aprobado
34628,1,2,8,Aprobado
34628,1,3,9,Aprobado
34629,2,1,8,Promocionado
34629,2,2,8,Promocionado
34629,2,3,8,Promocionado
34629,2,4,7,Aprobado
34629,2,5,9,Promocionado
34629,2,6,6,Aprobado
