Plan TPI 2010,Código Materia,Créditos,Materia,Correlatividades,Secuencialidad CO - créditos,Secuencialidad CA - créditos
,,,,,,
Otros requisitos,,12,,,,
,90028,6,Inglés II,,,
,90000,6,Inglés I ,,,
,,,TIP,,,
,,,,,,
Cursos Obligatorios (CO),,102,,,,
,487,18,Introducción a la Programación,,,
,1032,12,Organización de Computadoras,,,
,1033,16,Matemática I,,,
,1035,12,Bases de Datos,,,
,1036,16,Estructura de Datos,,,
,1034,16,Programación con Objetos I ,,,
,1037,12,Programación con Objetos II,,,
,,,,,,
Cursos Avanzados (CA),,104,,,,
,1047,8,Laboratorio de Sistemas Operativos y Redes,,71,
,1046,8,Desarrollo de Aplicaciones,,71,
,1045,8,Programación Funcional,,71,
,1044,12,Estrategias de Persistencia,,71,
,1043,12,Construcción de Interfaces de Usuario,,71,
,1042,12,Elementos de Ingeniería de Software,,71,
,1041,8,Matemática II,,71,
,1040,12,Programación Concurrente,,71,
,1039,12,Sistemas Operativos,,71,
,1038,12,Redes de Computadoras,,71,
,,,,,,
Complementarias,,24,,,,
,751,4,Taller de Trabajo Intelectual,,102,52
,646,8,Seguridad Informática,,102,52
,752,4,Taller de Trabajo Universitario,,102,52
,1048,8,Bases de Datos II,,102,52
,1049,8,Participación y Gestión en Proyectos de Software Libre,,102,52
,1050,8,Introducción a las Arquitecturas de Software,,102,52
,1051,8,Programación con Objetos III,,102,52
,1052,8,Introducción a la Bioinformática,,102,52
,1049,8,Políticas Públicas en la Sociedad de la Información y la Era Digital,,102,52
,1056,8,Introducción al Desarrollo de Videojuegos,,102,52
,1057,8,Derechos de Autor y Derecho de Copia en la Era Digital,,102,52
,1058,8,Seminarios: Introducción a la Electrónica y Programación de Controladores con Arduino,,102,52
,1059,8,Seminarios sobre Herramientas o Técnicas Puntuales: Tecnología y Sociedad,,102,52
,1302,8,Lógica y Programación,,102,52
,1306,8,Lenguajes Formales y Autómatas,,102,52
,1311,8,Sistemas Distribuidos,,102,52
,1312,8,Características de Lenguajes de Programación,,102,52
,1328,8,Seminario: Televisión Digital,,102,52
,1632,8,Seminario: Tecnología de Streaming sobre Internet,,102,52
,1643,8,Seminario: Taller de Desarrollos de Servicios Web / Cloud Modernos,,102,52
,1644,8,Seminario: Programación a Bajo Nivel,,102,52
