Plan TPI 2015,Código Materia,Créditos,Materia,Correlatividades,Secuencialidad CI - créditos,Secuencialidad CO - créditos,Secuencialidad CA - créditos,Secuencialidad CC - créditos
,,,,,,,,
Ciclo Introductorio (CI),,30,,,,,,
,80005,10,Elementos de Programación y Lógica,,,,,
,80003,10,Matemática,,,,,
,80000,10,Lectura y Escritura Académica,,,,,
,,,,,,,,
Otros requisitos,,12,,,,,,
,,6,Inglés II,,20,,,
,,6,Inglés I ,,20,,,
,,20,TIP,,30,100,104,8
,,,,,,,,
Cursos Obligatorios (CO),,100,,,,,,
,1037,12,Programación con Objetos II,{ 1034 },,,,
,1036,16,Estructura de Datos,{ 487 },,,,
,1035,12,Bases de Datos,,20,,,
,1034,16,Programación con Objetos I ,{ 487 },,,,
",1033,16,Matemática I,""{ 80005, 80003 } "",,,,"
,1032,12,Organización de Computadoras,{ 80005 },20,,,
,487,16,Introducción a la Programación,{ 80005 },20,,,
,,,,,,,,
Cursos Avanzados (CA),,104,,,,,,
",1047,8,Laboratorio de Sistemas Operativos y Redes,""{ 1038, 1039 }"",,,,"
",1046,8,Desarrollo de Aplicaciones,""{ 1042, 1043, 1044 }"",,,,"
,1045,8,Programación Funcional,{ 1036 },30,70,,
",1044,12,Estrategias de Persistencia,""{ 1035, 1037 }"",30,70,,"
,1043,12,Construcción de Interfaces de Usuario,{ 1037 },30,70,,
,1042,12,Elementos de Ingeniería de Software,{ 1037 },30,70,,
,1041,8,Matemática II,{ 1033 },30,70,,
,1040,12,Programación Concurrente,{ 1036 },30,70,,
",1039,12,Sistemas Operativos,""{ 487, 1032 }"",,,,"
,1038,12,Redes de Computadoras,{ 1032 },30,70,,
,,,,,,,,
Cursos Complementarios (CC),,24,,,,,,
,751,8,Taller de Trabajo Intelectual,,,100,52,
,646,8,Seguridad Informática,,,100,52,
,752,8,Taller de Trabajo Universitario,,,100,52,
,1048,8,Bases de Datos II,,,100,52,
,1049,8,Participación y Gestión en Proyectos de Software Libre,,,100,52,
,1050,8,Introducción a las Arquitecturas de Software,,,100,52,
,1051,8,Programación con Objetos III,,,100,52,
,1052,8,Introducción a la Bioinformática,,,100,52,
,1049,8,Políticas Públicas en la Sociedad de la Información y la Era Digital,,,100,52,
,1054,8,Sistemas de Información Geográfica,,,100,52,
,1055,8,Herramientas Declarativas en Programación,,,100,52,
,1056,8,Introducción al Desarrollo de Videojuegos,,,100,52,
,1057,8,Derechos de Autor y Derecho de Copia en la Era Digital,,,100,52,
,1058,8,Seminarios: Introducción a la Electrónica y Programación de Controladores con Arduino,,,100,52,
,1059,8,Seminarios sobre Herramientas o Técnicas Puntuales: Tecnología y Sociedad,,,100,52,
,1302,8,Lógica y Programación,,,100,52,
,1304,8,Gestión de Proyectos de Desarrollo de Software,,,100,52,
,1305,8,Prácticas del Desarrollo de Software,,,100,52,
,1306,8,Lenguajes Formales y Autómatas,,,100,52,
,1307,8,Algoritmos,,,100,52,
,1308,8,Ingeniería de Requerimientos,,,100,52,
,1311,8,Sistemas Distribuidos,,,100,52,
,1312,8,Características de Lenguajes de Programación,,,100,52,
,1314,8,Arquitectura de Computadoras,,,100,52,
,1316,8,Aspectos Legales y Sociales,,,100,52,
,1328,8,Seminario: Televisión Digital,,,100,52,
,1632,8,Seminario: Tecnología de Streaming sobre Internet,,,100,52,
,1643,8,Seminario: Taller de Desarrollos de Servicios Web / Cloud Modernos,,,100,52,
,1644,8,Seminario: Programación a Bajo Nivel,,,100,52,
